fold,indice_original,score,predicao
1,0,4.19524551945088,1
1,3,1.9960360804012858,1
1,8,3.0747135659694624,1
1,10,5.566376610016858,1
1,12,5.423908456034235,1
1,14,5.950157022119191,1
1,19,7.272267489266875,1
1,20,6.0491955719552575,1
1,23,7.3203978272932115,1
1,29,4.509470573853891,1
1,31,7.585073832592409,1
1,33,7.167198821116914,1
1,35,5.216243308947879,1
1,36,6.643787312193593,1
1,37,7.3661844015535625,1
1,39,5.2331547323728405,1
1,47,7.125433218123755,1
1,50,8.195969601827224,1
1,58,5.944221460190155,1
1,59,7.659768559988555,1
1,63,2.7777120836171427,1
1,76,4.5510574251849025,1
1,80,3.5626660464662265,1
1,88,-0.7582920224986598,-1
1,92,7.946459359911374,1
1,93,7.098011885349491,1
1,95,6.748514808694354,1
1,96,2.7694212104664526,1
1,101,4.548280953176869,1
1,103,3.190369296755188,1
1,106,5.086105477128173,1
1,107,7.296677919378412,1
1,108,7.510684268490399,1
1,119,4.842161475552482,1
1,131,4.0842285707482695,1
1,135,1.7546989488833926,1
1,144,3.474736205321534,1
1,149,3.252023113854694,1
1,157,4.94977974289184,1
1,169,0.5175426108600334,1
1,185,4.716234180881676,1
1,210,-5.093346431388449,-1
1,211,3.983044999438267,1
1,212,0.6771180720903782,1
1,217,0.9588618197940306,1
1,221,-0.7754586907279304,-1
1,222,2.0374357243121093,1
1,233,1.2131830621502928,1
1,239,1.5498878945173544,1
1,245,-7.934870021800942,-1
1,248,3.2174716717279654,1
1,251,-3.259428081779971,-1
1,252,0.4156755553076472,1
1,259,-0.14012297482367408,-1
1,263,-4.825856299425732,-1
1,265,0.38932787116219636,1
1,267,2.895628324653826,1
1,274,4.459733772072154,1
1,286,3.1604570274860855,1
1,290,7.598055686532115,1
1,291,2.761801233437133,1
1,292,-1.3970270806488188,-1
1,293,6.29490306664764,1
1,295,5.598956051888466,1
1,303,-4.539377217401353,-1
1,304,0.8408751134350787,1
1,311,1.859723581626188,1
1,315,0.9650243046475264,1
1,316,-0.05215220768477913,-1
1,318,3.069895949477555,1
1,321,3.377766365076697,1
1,323,0.5771480314989859,1
1,330,1.6901745055563069,1
1,333,1.3331020114691032,1
1,334,2.2628877617192664,1
1,335,5.4157182437726785,1
1,346,-0.6737149191217053,-1
1,347,3.316218350005526,1
1,349,5.768251825414614,1
1,353,6.426888803324674,1
1,360,-9.965584380290057,-1
1,367,2.8578904324304997,1
1,373,0.3995501615816419,1
1,376,6.849515174537695,1
1,379,6.964640031736403,1
1,381,7.217576271065928,1
1,388,2.8495564475742388,1
1,393,2.9138090660892004,1
1,394,4.311356772148473,1
1,399,6.095161111209906,1
1,400,4.738872634614529,1
1,408,5.521886315809519,1
1,410,7.427718114012427,1
1,416,3.3356697332125673,1
1,427,-7.415337061926196,-1
1,439,4.901244368133346,1
1,440,-1.342346182182796,-1
1,447,2.7130296886385246,1
1,450,5.129880546776318,1
1,453,5.64480666983191,1
1,456,3.1334401481270415,1
1,457,4.541694522474115,1
1,461,4.331577746504665,1
1,462,4.34231440942728,1
1,465,-7.277107274563044,-1
1,467,4.835207159344629,1
1,474,3.6524973585389766,1
1,480,6.89557718924125,1
1,483,6.1355385565074005,1
1,487,7.099058430718644,1
1,496,1.9326643497957505,1
1,500,4.19913933901333,1
1,509,6.101976895734579,1
1,510,-1.0169210258264751,-1
1,511,6.413555368435899,1
1,513,4.113410395512046,1
1,518,2.634262373932417,1
1,532,4.580574200377226,1
1,533,6.774478729968605,1
1,538,-11.104368802110633,-1
1,542,7.867769741688294,1
1,543,7.035630564860009,1
1,550,1.4466100300381601,1
1,554,6.4511614123284975,1
1,563,6.791725306239632,1
1,567,5.9934351257846235,1
1,568,3.729102410225387,1
1,576,9.452291176023982,1
1,577,5.452167842153115,1
1,582,7.445467942277245,1
1,586,7.637032129080831,1
1,590,0.2878163750738967,1
1,591,6.144716067568263,1
1,592,6.537881436242346,1
1,594,-10.651080955418257,-1
1,603,2.1335314816124153,1
1,605,-2.9664543637278395,-1
1,611,2.2381969904355685,1
1,617,4.463600441757295,1
1,620,-3.1135272033277133,-1
1,621,5.78361231705758,1
1,623,-7.223833996687222,-1
1,624,-1.4085373059745994,-1
1,625,4.387254799975308,1
1,637,-1.3860964113106249,-1
1,647,-7.013233969519202,-1
1,648,5.337148104065468,1
1,653,-4.719453028804415,-1
1,655,1.3473507393238169,1
1,668,7.75102507424806,1
1,673,-8.416020974751445,-1
1,676,4.405427647988253,1
1,683,4.118027916966835,1
1,696,2.902762337127479,1
1,700,1.8094995734833006,1
1,704,4.280135806563985,1
1,705,-0.7105967941305593,-1
1,708,2.4645175076471304,1
1,710,7.215168302230888,1
1,711,1.798479901832403,1
1,712,4.557415541221685,1
1,713,8.615128851920952,1
1,715,7.421662950030955,1
1,718,4.917192383261005,1
1,730,3.5462480459050987,1
1,733,8.47012401548322,1
1,735,8.975905088798969,1
1,736,-1.6525302914754274,-1
1,738,5.6090099164723295,1
1,742,-7.175454902946436,-1
1,743,3.961813334723427,1
1,745,-0.9259840970190858,-1
1,747,-3.514397798773338,-1
1,758,-11.269375157751185,-1
1,761,1.5615315254258668,1
1,763,3.2271837146824414,1
1,764,3.4971402614141383,1
1,765,-6.010164854604263,-1
1,766,3.4331999610586514,1
1,774,-3.239883312869029,-1
1,782,6.088214724630015,1
1,789,1.7225124380535064,1
1,792,3.837015100738812,1
1,794,3.4064201327318973,1
1,795,-9.636080877283112,-1
1,799,-0.4735002890245301,-1
1,809,2.456519426556085,1
1,828,1.4277800082752314,1
1,837,-1.9247099913586911,-1
1,841,6.296802135342931,1
1,850,5.476861754537358,1
1,852,6.0190865622825935,1
1,856,8.738104478305727,1
1,858,7.280943592336966,1
1,866,5.627468461688094,1
1,871,5.544956775314885,1
1,872,1.97803852565057,1
1,879,5.302395711359681,1
1,883,6.325554313955868,1
1,900,6.245679490801825,1
1,906,5.820396285096296,1
1,908,6.494590381738648,1
1,914,5.776595385615343,1
1,921,3.940875248195402,1
1,927,3.842948820470621,1
1,932,0.7516107440165953,1
1,934,6.172754512680621,1
1,937,7.368223886105069,1
1,940,5.814869202375933,1
1,952,4.099486362957709,1
1,958,5.787778481722201,1
1,960,4.194051482472988,1
1,965,5.1097414219133785,1
1,967,3.6637015180386303,1
1,970,5.681667642114002,1
1,971,1.8138694160789193,1
1,993,5.274883249374325,1
1,994,3.9152883924779545,1
1,1002,3.0997983983014947,1
1,1009,8.595318501071423,1
1,1010,2.358386283940346,1
1,1018,8.818180712837483,1
